Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,"261,415","5,489,715",05/01/2019,13:08,Ewallet,522.83,"4,761,904,762","261,415",9.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,05/01/2019,10:29,Cash,76.4,"4,761,904,762",3.82,9.6
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,"162,155","3,405,255",05/01/2019,13:23,Credit card,324.31,"4,761,904,762","162,155",7.4
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,"23,288","489,048",05/01/2019,20:33,Ewallet,465.76,"4,761,904,762","23,288",8.4
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,"302,085","6,343,785",05/01/2019,10:37,Ewallet,604.17,"4,761,904,762","302,085",5.3
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,"298,865","6,276,165",05/01/2019,18:30,Ewallet,597.73,"4,761,904,762","298,865",4.1
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,"20,652","433,692",05/01/2019,14:36,Ewallet,413.04,"4,761,904,762","20,652",5.8
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,05/01/2019,11:38,Ewallet,735.6,"4,761,904,762",36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,"3,626","76,146",05/01/2019,17:15,Credit card,72.52,"4,761,904,762","3,626",7.2
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,"8,226","172,746",05/01/2019,13:27,Credit card,164.52,"4,761,904,762","8,226",5.9
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,"2,896","60,816",05/01/2019,18:07,Ewallet,57.92,"4,761,904,762","2,896",4.5
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,"5,102","107,142",05/01/2019,17:03,Cash,102.04,"4,761,904,762","5,102",6.8
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,"117,375","2,464,875",05/01/2019,10:25,Ewallet,234.75,"4,761,904,762","117,375",7.1
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,"21,595","453,495",05/01/2019,16:48,Ewallet,431.9,"4,761,904,762","21,595",8.2
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,05/01/2019,19:21,Cash,713.8,"4,761,904,762",35.69,5.7
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,"28,116","590,436",05/01/2019,16:19,Cash,562.32,"4,761,904,762","28,116",4.5
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,"241,255","5,066,355",05/01/2019,11:03,Credit card,482.51,"4,761,904,762","241,255",4.6
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,"21,783","457,443",05/01/2019,10:39,Credit card,435.66,"4,761,904,762","21,783",6.9
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,"82,005","1,722,105",05/01/2019,18:00,Credit card,164.01,"4,761,904,762","82,005",8.6
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,05/01/2019,15:30,Ewallet,80.6,"4,761,904,762",4.03,4.4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,05/01/2019,11:24,Ewallet,430.2,"4,761,904,762",21.51,4.8
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,"13,197","277,137",05/01/2019,10:40,Ewallet,263.94,"4,761,904,762","13,197",5.1
